Ray Angle: -30.00°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -29.50°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -29.00°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -28.50°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -28.00°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -27.50°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -27.00°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -26.50°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -26.00°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -25.50°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -25.00°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -24.50°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -24.00°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -23.50°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -23.00°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -22.50°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -22.00°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -21.50°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -21.00°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -20.50°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -20.00°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -19.50°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -19.00°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -18.50°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -18.00°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -17.50°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -17.00°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -16.50°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -16.00°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -15.50°, Depth: 2, Char: #, Intersection: (7, 10)
Ray Angle: -15.00°, Depth: 2, Char: #, Intersection: (7, 10)
